Ethernet_1 E131 192.168.0.50
Pixel Port 10(SC:29071)(UNI:#210:1)(CHANS:270)(PIX:90),Peak Left(DESP:15')(SC:29071)(UNI:#210:1)(CHANS:270)(PIX:90),
Pixel Port 11(SC:29581)(UNI:#211:1)(CHANS:150)(PIX:50),end of house(DESP:54")(SC:29581)(UNI:#211:1)(CHANS:150)(PIX:50),
Pixel Port 12(SC:30091)(UNI:#212:1)(CHANS:270)(PIX:90),Peak Right(DESP:15')(SC:30091)(UNI:#212:1)(CHANS:270)(PIX:90),




Ethernet_3 E131 192.168.0.52
Output,Model 1,
Pixel Port 1(SC:48961)(UNI:#301:1)(CHANS:300)(PIX:100),Arches-1 Outside(SC:48961)(UNI:#301:1)(CHANS:300)(PIX:100),
Pixel Port 2(SC:49471)(UNI:#302:1)(CHANS:300)(PIX:100),Arches-2(SC:49471)(UNI:#302:1)(CHANS:300)(PIX:100),
Pixel Port 3(SC:49981)(UNI:#303:1)(CHANS:300)(PIX:100),Arches-3(SC:49981)(UNI:#303:1)(CHANS:300)(PIX:100),
Pixel Port 4(SC:50491)(UNI:#304:1)(CHANS:300)(PIX:100),Arches-4(SC:50491)(UNI:#304:1)(CHANS:300)(PIX:100),
Pixel Port 5,
Pixel Port 6,
Pixel Port 7,
Pixel Port 8,
Pixel Port 9,
Pixel Port 10,
Pixel Port 11,
Pixel Port 12,
Pixel Port 13,
Pixel Port 14,
Pixel Port 15,
Pixel Port 16,
Pixel Port 17(SC:57121)(UNI:#317:1)(CHANS:150)(PIX:50),Tree-str-1(SC:57121)(UNI:#317:1)(CHANS:150)(PIX:50),
Pixel Port 18(SC:57631)(UNI:#318:1)(CHANS:150)(PIX:50),Tree-str-2(SC:57631)(UNI:#318:1)(CHANS:150)(PIX:50),
Pixel Port 19(SC:58141)(UNI:#319:1)(CHANS:150)(PIX:50),Tree-str-3(SC:58141)(UNI:#319:1)(CHANS:150)(PIX:50),
Pixel Port 20(SC:58651)(UNI:#320:1)(CHANS:150)(PIX:50),Tree-str-4(SC:58651)(UNI:#320:1)(CHANS:150)(PIX:50),
Pixel Port 21(SC:59161)(UNI:#321:1)(CHANS:150)(PIX:50),Tree-str-5(SC:59161)(UNI:#321:1)(CHANS:150)(PIX:50),
Pixel Port 22(SC:59671)(UNI:#322:1)(CHANS:150)(PIX:50),Tree-str-6(SC:59671)(UNI:#322:1)(CHANS:150)(PIX:50),
Pixel Port 23(SC:60181)(UNI:#323:1)(CHANS:150)(PIX:50),Tree-str-7(SC:60181)(UNI:#323:1)(CHANS:150)(PIX:50),
Pixel Port 24(SC:60691)(UNI:#324:1)(CHANS:150)(PIX:50),Tree-str-8(SC:60691)(UNI:#324:1)(CHANS:150)(PIX:50),
Pixel Port 25(SC:61201)(UNI:#325:1)(CHANS:150)(PIX:50),Tree-str-9(SC:61201)(UNI:#325:1)(CHANS:150)(PIX:50),
Pixel Port 26(SC:61711)(UNI:#326:1)(CHANS:150)(PIX:50),Tree-str-10(SC:61711)(UNI:#326:1)(CHANS:150)(PIX:50),
Pixel Port 27(SC:62221)(UNI:#327:1)(CHANS:150)(PIX:50),Tree-str-11(SC:62221)(UNI:#327:1)(CHANS:150)(PIX:50),
Pixel Port 28(SC:62731)(UNI:#328:1)(CHANS:150)(PIX:50),Tree-str-12(SC:62731)(UNI:#328:1)(CHANS:150)(PIX:50),
Pixel Port 29(SC:63241)(UNI:#329:1)(CHANS:150)(PIX:50),Tree-str-13(SC:63241)(UNI:#329:1)(CHANS:150)(PIX:50),
Pixel Port 30(SC:63751)(UNI:#330:1)(CHANS:150)(PIX:50),Tree-str-14(SC:63751)(UNI:#330:1)(CHANS:150)(PIX:50),
Pixel Port 31(SC:64261)(UNI:#331:1)(CHANS:150)(PIX:50),Tree-str-15(SC:64261)(UNI:#331:1)(CHANS:150)(PIX:50),
Pixel Port 32(SC:64771)(UNI:#332:1)(CHANS:150)(PIX:50),Tree-str-16(SC:64771)(UNI:#332:1)(CHANS:150)(PIX:50),




